题目序号,用时,错误提交次数,错误类型,,,备注
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
82,0:18:54,1,整数越界,,,
83,0:08:30,0,,,,
84,0:10:41,1,做法错误,,,初始提交计算复杂度高
85,1:13:44,1,变量名失误,,,TODO 改进计算复杂度
86,0:23:23,1,链表指针转移失误,,,错误 1 通过数：97/166
87,0:50:50,3,分类判断错误,题目理解错误,分类判断失误,
88,0:05:43,0,,,,
89,0:16:54,0,,,,
90,0:10:20,0,,,,
91,0:36:20,2,超时,分类判断错误,,错误 1 耗时：10:30
92,0:23:10,0,,,,
93,0:15:43,2,分类判断失误,题目理解偏差,,
94,0:25:41,0,,,,
95,0:36:01,2,题目理解偏差,极端情况失误,,
96,0:04:50,1,超时,,,题目类似 95，但测试数据更大
97,放弃,3,分类判断失误,超时,分类判断错误,放弃时间：0:45:50
98,0:11:17,3,题目理解偏差,极端情况未考虑,函数签名失误,
99,0:39:41,0,,,,没有使用题目要求的 O(1) 空间复杂度
100,0:03:40,0,,,,
101,0:09:33,0,,,,使用递归方法代码编写更快
102,0:05:06,0,,,,
103,0:12:47,0,,,,
104,0:01:37,0,,,,
105,0:10:36,0,,,,
106,0:07:29,0,,,,
107,0:08:43,1,极端情况失误,,,
108,0:03:58,0,,,,
109,0:01:18,0,,,,使用 e0107 的程序
110,0:07:07,0,,,,
111,0:03:30,1,分类判断错误,,,
112,0:09:07,2,极端情况失误,返回条件失误,,
113,0:08:41,0,,,,
114,0:18:30,0,,,,
115,0:20:04,1,整型溢出,,,
116,0:08:23,1,极端情况失误,,,
117,0:39:40,1,实现方式错误,,,
118,0:09:31,0,,,,
119,0:07:30,1,整型溢出,,,
120,0:07:54,0,,,,
121,0:07:46,0,,,,
122,0:14:50,0,,,,
123,0:53:08,1,代码编写失误,,,
124,0:19:11,1,实现错误,,,
125,0:06:18,1,审题失误,,,
126,2:04:26,1,超时,,,并非最优解，使用单向纯 BFS
127,0:37:40,0,,,,并非最优解，使用不合理的搜索方式
128,0:22:12,0,,,,
129,0:08:22,0,,,,
130,0:09:55,0,,,,
131,0:32:32,0,,,,
